"","species","lat","lon"
"1","Castilleja linariifolia",44.595421,-110.602134
"2","Castilleja linariifolia",37.530532,-118.821766
"3","Castilleja linariifolia",37.530532,-118.821766
"4","Castilleja linariifolia",41.156475,-105.35527
"5","Castilleja linariifolia",36.664884,-112.159452
"6","Castilleja linariifolia",39.940162,-105.566138
"7","Castilleja linariifolia",38.958686,-106.98772
"8","Castilleja linariifolia",36.275035,-115.693558
"9","Castilleja linariifolia",38.561603,-120.846428
"10","Castilleja linariifolia",39.647516,-117.483979
"11","Castilleja linariifolia",39.424838,-114.479808
"12","Castilleja linariifolia",37.833721,-115.603481
"13","Castilleja linariifolia",37.367887,-115.310788
"14","Castilleja linariifolia",39.73039,-114.24654
"15","Castilleja linariifolia",40.11402,-115.55957
"16","Castilleja linariifolia",38.75834,-114.76233
"17","Castilleja linariifolia",42.082395,-110.857578
"18","Castilleja linariifolia",37.639076,-115.406575
"19","Castilleja linariifolia",37.35678,-115.330897
"20","Castilleja linariifolia",37.66273,-115.379813
"21","Castilleja linariifolia",39.645021,-117.463798
"22","Castilleja linariifolia",36.908881,-111.828834
"23","Castilleja linariifolia",35.084983,-113.866528
"24","Castilleja linariifolia",37.7791,-117.8425
"25","Castilleja linariifolia",37.7029,-117.9165
"26","Castilleja linariifolia",37.7355,-117.7955
"27","Castilleja linariifolia",37.7041,-117.9086
"28","Castilleja linariifolia",37.7419,-117.7909
"29","Castilleja linariifolia",37.7307,-117.8073
"30","Castilleja linariifolia",37.7531,-117.9425
"31","Castilleja linariifolia",37.711,-117.8048
"32","Castilleja linariifolia",37.734,-117.7958
"33","Castilleja linariifolia",37.7652,-117.8349
"34","Castilleja linariifolia",37.409731,-107.251687
"35","Castilleja linariifolia",37.388611,-108.075833
"36","Castilleja linariifolia",37.250214,-108.685674
"37","Castilleja linariifolia",37.311667,-107.785
"38","Castilleja linariifolia",37.284187,-107.893678
"39","Castilleja linariifolia",37.281469,-107.979675
"40","Castilleja linariifolia",37.280158,-107.863778
"41","Castilleja linariifolia",37.290556,-107.916667
"42","Castilleja linariifolia",37.286111,-107.893889
"43","Castilleja linariifolia",37.273333,-107.871389
"44","Castilleja linariifolia",37.742267,-108.433533
"45","Castilleja linariifolia",37.248056,-108.069444
"46","Castilleja linariifolia",37.214201,-107.531868
"47","Castilleja linariifolia",37.794124,-107.055338
"48","Castilleja linariifolia",37.293205,-107.143966
"49","Castilleja linariifolia",37.917579,-106.2938
"50","Castilleja linariifolia",37.628624,-107.922548
"51","Castilleja linariifolia",37.628624,-107.922548
"52","Castilleja linariifolia",37.628624,-107.922548
"53","Castilleja linariifolia",37.628284,-107.922462
"54","Castilleja linariifolia",37.673647,-107.896086
"55","Castilleja linariifolia",37.628284,-107.922462
"56","Castilleja linariifolia",37.308998,-108.421386
"57","Castilleja linariifolia",36.488466,-107.513621
"58","Castilleja linariifolia",36.488466,-107.513621
"59","Castilleja linariifolia",38.668717,-112.209068
"60","Castilleja linariifolia",37.298611,-107.856944
"61","Castilleja linariifolia",41.298306,-106.141677
"62","Castilleja linariifolia",38.215691,-108.918845
"63","Castilleja linariifolia",37.274768,-107.888264
"64","Castilleja linariifolia",37.282222,-107.856944
"65","Castilleja linariifolia",38.431995,-111.423284
"66","Castilleja linariifolia",38.399722,-105.201944
"67","Castilleja linariifolia",37.244722,-108.071944
"68","Castilleja linariifolia",36.2275,-107.7095
"69","Castilleja linariifolia",37.299058,-106.982355
"70","Castilleja linariifolia",34.321401,-110.840409
"71","Castilleja linariifolia",40.396484,-105.619751
"72","Castilleja linariifolia",45.135833,-108.430842
"73","Castilleja linariifolia",39.806087,-105.53447
"74","Castilleja linariifolia",38.442092,-106.916789
"75","Castilleja linariifolia",42.998683,-118.375514
"76","Castilleja linariifolia",36.317555,-112.124014
"77","Castilleja linariifolia",37.25652,-112.963577
"78","Castilleja linariifolia",37.244242,-108.519751
"79","Castilleja linariifolia",37.881722,-118.31157
"80","Castilleja linariifolia",37.255389,-108.517005
"81","Castilleja linariifolia",37.184017,-108.488044
"82","Castilleja linariifolia",39.040928,-108.719025
"83","Castilleja linariifolia",35.279975,-115.247567
"84","Castilleja linariifolia",36.122254,-111.949411
"85","Castilleja linariifolia",38.667877,-108.341179
"86","Castilleja linariifolia",36.122177,-111.94931
"87","Castilleja linariifolia",38.914206,-106.891374
"88","Castilleja linariifolia",38.731699,-108.6168
"89","Castilleja linariifolia",45.123446,-108.410949
"90","Castilleja linariifolia",36.217061,-112.058443
"91","Castilleja linariifolia",36.254036,-112.056902
"92","Castilleja linariifolia",36.792714,-112.147964
"93","Castilleja linariifolia",37.272864,-112.880627
"94","Castilleja linariifolia",39.120404,-111.256198
"95","Castilleja linariifolia",37.962119,-110.50156
"96","Castilleja linariifolia",36.791484,-112.056513
"97","Castilleja linariifolia",36.791484,-112.056513
"98","Castilleja linariifolia",39.120404,-111.256198
"99","Castilleja linariifolia",36.248807,-115.638906
"100","Castilleja linariifolia",44.82138,-107.335978
"101","Castilleja linariifolia",36.791484,-112.056513
"102","Castilleja linariifolia",43.434063,-120.697945
"103","Castilleja linariifolia",37.423012,-117.561395
"104","Castilleja linariifolia",39.606262,-104.676035
"105","Castilleja linariifolia",41.775578,-105.36625
"106","Castilleja linariifolia",43.592892,-118.522918
"107","Castilleja linariifolia",37.65673,-119.061398
"108","Castilleja linariifolia",37.94785,-111.58586
"109","Castilleja linariifolia",39.092041,-111.193973
"110","Castilleja linariifolia",38.235423,-111.239124
"111","Castilleja linariifolia",37.053458,-113.823447
"112","Castilleja linariifolia",34.966778,-109.148923
"113","Castilleja linariifolia",37.080158,-112.532347
"114","Castilleja linariifolia",42.195935,-118.759482
"115","Castilleja linariifolia",39.092041,-111.193973
"116","Castilleja linariifolia",37.860199,-111.63421
"117","Castilleja linariifolia",39.118958,-110.658333
"118","Castilleja linariifolia",43.90765,-110.555694
"119","Castilleja linariifolia",37.7419,-117.7909
"120","Castilleja linariifolia",37.7355,-117.7955
"121","Castilleja linariifolia",37.734,-117.7958
"122","Castilleja linariifolia",37.7307,-117.8073
"123","Castilleja linariifolia",37.7652,-117.8349
"124","Castilleja linariifolia",37.7531,-117.9425
"125","Castilleja linariifolia",37.7041,-117.9086
"126","Castilleja linariifolia",37.7029,-117.9165
"127","Castilleja linariifolia",37.711,-117.8048
"128","Castilleja linariifolia",37.7791,-117.8425
"129","Castilleja linariifolia",44.1203,-118.95998
"130","Castilleja linariifolia",40.666013,-105.358678
"131","Castilleja linariifolia",40.675219,-105.347675
"132","Castilleja linariifolia",40.67721,-105.348486
"133","Castilleja linariifolia",41.166879,-105.383036
"134","Castilleja linariifolia",39.735241,-105.349946
"135","Castilleja linariifolia",35.183792,-109.94668
"136","Castilleja linariifolia",41.175,-105.247
"137","Castilleja linariifolia",40.450672,-105.354797
"138","Castilleja linariifolia",40.455362,-105.356833
"139","Castilleja linariifolia",41.176246,-105.244777
"140","Castilleja linariifolia",36.069533,-115.460646
"141","Castilleja linariifolia",41.204415,-105.351403
"142","Castilleja linariifolia",37.434048,-118.747947
"143","Castilleja linariifolia",41.179212,-105.358987
"144","Castilleja linariifolia",40.897072,-109.625452
"145","Castilleja linariifolia",40.703576,-105.297378
"146","Castilleja linariifolia",37.194458,-112.658122
"147","Castilleja linariifolia",37.199161,-112.659398
"148","Castilleja linariifolia",40.684159,-105.348612
"149","Castilleja linariifolia",38.157353,-109.752053
"150","Castilleja linariifolia",38.952775,-106.9744
"151","Castilleja linariifolia",38.952775,-106.9744
"152","Castilleja linariifolia",38.952775,-106.9744
"153","Castilleja linariifolia",38.953382,-106.974973
"154","Castilleja linariifolia",38.942924,-106.983471
"155","Castilleja linariifolia",38.89472,-106.89158
"156","Castilleja linariifolia",37.133089,-118.450437
"157","Castilleja linariifolia",39.178272,-106.800531
"158","Castilleja linariifolia",37.593038,-112.187089
"159","Castilleja linariifolia",38.299672,-111.303627
"160","Castilleja linariifolia",37.305702,-108.428253
"161","Castilleja linariifolia",37.472923,-112.242133
"162","Castilleja linariifolia",37.671046,-111.276542
"163","Castilleja linariifolia",37.623482,-112.159713
"164","Castilleja linariifolia",40.386555,-105.597572
"165","Castilleja linariifolia",40.36663,-105.610305
"166","Castilleja linariifolia",40.384445,-105.597892
"167","Castilleja linariifolia",38.949561,-117.316764
"168","Castilleja linariifolia",37.61803,-105.548845
"169","Castilleja linariifolia",40.386588,-105.597655
"170","Castilleja linariifolia",40.386667,-105.598288
"171","Castilleja linariifolia",40.38712,-105.605537
"172","Castilleja linariifolia",39.902118,-105.394804
